bio_language,community,created_at,followers_count,from_user,is_art,is_education,is_feminist,is_media,is_politics,is_sports,macro_micro,mention_count,movement_in,name,negative,neutral,positive,retweet_count,tweets_count,user_description
en,5,2019-08-20 22:43:41,4766.0,sarahfelts,0.0,0.0,1.0,0.0,0.0,0.0,macro,0,StopTheBan,sarahfelts,17.0,53.0,67.0,174,137.0,"she/her | nerdy, feminist, easily startled | @PPMO_Advocates comms | @STLYoungDems & @15thWardDems l @MizzouLaw & @TrumanState | #anxiety #depression & my dog"
en,5,2019-08-20 20:39:01,4022.0,PPMO_Advocates,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,PPMO_Advocates,26.0,63.0,85.0,2043,174.0,👋 Hi! We’re Planned Parenthood Advocates in Missouri. We fight to protect & advance Missourians’ sexual & repro health & rights. 📣 #StopTheBans
,5,2019-08-20 19:47:34,58.0,jeffssore,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,jeffssore,17.0,44.0,53.0,0,114.0,💗💜💙
en,5,2019-08-16 20:23:16,3978.0,wrap02,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,wrap02,41.0,114.0,72.0,7,227.0,"Equality for All, #UniteBlue #TheResistance #StrongerTogether Healthcare IS a Right. Women stop standing BEHIND, stand besides each other & good men. 🌊"
en,5,2019-06-28 22:05:29,806.0,sharingjoy91,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,sharingjoy91,7.0,13.0,15.0,0,35.0,"Here to support people of color, challenge fellow white people, and be as gay as possible!"
en,5,2019-06-30 01:50:26,29569.0,therealkevinTE,0.0,0.0,0.0,0.0,0.0,0.0,macro,1,StopTheBan,therealkevinTE,0.0,21.0,1.0,0,22.0,Uniting resisters to defeat Trump and the GOP#PRU member.followed by @RoArquette &followed by the Queen of human rights @Alyssa_Milano
en,5,2019-06-29 18:14:32,605.0,Sammyjkramer,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,Sammyjkramer,11.0,20.0,24.0,86,55.0,"“Sir, we are not satisfied and the agitation will go on”. — Annie Kenney"
en,5,2019-07-01 16:07:32,1159.0,MOIndivisible,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,MOIndivisible,2.0,15.0,10.0,7,27.0,We are an Indivisible group focusing on issues impacting Missourians on both the state and local level.
en,5,2019-08-15 16:15:05,4488.0,NARALMissouri,0.0,0.0,0.0,0.0,1.0,0.0,macro,0,StopTheBan,NARALMissouri,9.0,20.0,29.0,469,58.0,"We're a pro-choice, grassroots political organization working to ensure that people remain in control of their bodies."
en,5,2019-06-28 20:22:42,125.0,BrendaEliaLara1,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,BrendaEliaLara1,0.0,10.0,18.0,0,28.0,Everyday I feel angry & depressed about my teeth. My abusers should be restoring my smile to the way it was before they broke off & damaged all w their devices
,5,2019-06-28 19:44:39,27.0,LittleBoyandI,,,,,,,macro,0,StopTheBan,LittleBoyandI,4.0,16.0,26.0,0,46.0,
,5,2019-08-17 12:45:26,332.0,LindsayBrookeH,,,,,,,macro,0,StopTheBan,LindsayBrookeH,19.0,22.0,17.0,0,58.0,
en,5,2019-07-03 04:05:14,3871.0,pamelarwalker,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,pamelarwalker,11.0,38.0,27.0,43,76.0,"Health, public health, natural resources, emergency & terrorism response. If it doesn't have a typo, I didn't write it. Opportunities to do right meet you daily"
en,5,2019-06-29 01:09:00,2093.0,SheWho_Resists,0.0,0.0,1.0,0.0,0.0,0.0,macro,0,StopTheBan,SheWho_Resists,8.0,21.0,19.0,28,48.0,Feminist revolutionary. Member of #ThePersistence from Plan-It Warren🌎 ACT*UP #TW #WFP4theMany🌊
en,5,2019-08-17 21:33:09,9436.0,SharkFu,1.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,SharkFu,15.0,29.0,17.0,31,61.0,"Co-Founder/Co-Director of @Reproaction, rescue dog guardian, hockey fan. she/her/hers. Views are my own. #TrustBlackWomen"
en,5,2019-06-24 14:41:55,427.0,LHenthorne,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,LHenthorne,2.0,6.0,6.0,0,14.0,Aiming at remembering to be a human being
en,5,2019-07-02 05:25:06,79.0,Notverycon,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,Notverycon,1.0,3.0,9.0,0,13.0,Hitchens's razor  assserts that the burden of proof regarding the truthfulness of a claim lies with the one who makes the claim.
,5,2019-06-14 02:47:42,28.0,incognito998,,,,,,,macro,0,StopTheBan,incognito998,6.0,9.0,14.0,0,29.0,
en,5,2019-08-17 02:10:54,8781.0,aclu_mo,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,aclu_mo,3.0,36.0,25.0,217,64.0,Protecting civil liberties in Missouri since 1920!  Like us on Facebook: http://t.co/h4Sr6zCPkY RTs & follows are not endorsements
en,5,2019-06-28 04:13:23,2205.0,AKAReSister,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,AKAReSister,11.0,23.0,22.0,15,56.0,🌊#WFP4theMany #CabánFever #TeamAbrams #TW Not stuck in a comfort zone. Not giving up and not backing down.
en,5,2019-08-16 21:15:12,1702.0,JGibsonDem,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,JGibsonDem,12.0,19.0,11.0,13,42.0,"Dem Precinct Committeeman for Nameoki 5. | Teams: Cards, Blues, Arsenal, Steelers, #USA, Bears, Illini, Mizzou + US Soccer. Tumblr: @JPCTumblr"
en,5,2019-06-19 22:39:29,783.0,JesseLawder,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,JesseLawder,6.0,20.0,12.0,140,38.0,"Former @barackobama staffer, @usdol @osha_dol @msha_dol @vets_dol spox. Current VP @ppslr @ppswmo. @websteru @wconservatory grad. he/him"
en,5,2019-06-17 15:31:57,33.0,ShadowShiary,0.0,0.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,ShadowShiary,2.0,6.0,9.0,0,17.0,"anime and manga fan, Fanfic author under the name of Shiary (both Ao3 and FF)"
,5,2019-06-18 16:22:35,62.0,estigo,,,,,,,macro,0,StopTheBan,estigo,2.0,8.0,10.0,0,20.0,
en,5,2019-06-29 19:49:32,87.0,MSUGenAction,0.0,1.0,0.0,0.0,0.0,0.0,macro,0,StopTheBan,MSUGenAction,1.0,3.0,11.0,6,15.0,"@ Missouri State University.  We are an organization focused on reproductive rights, social justice, diversity,  the LGBTQ+ community, inclusivity, and more!"
en,5,2019-06-28 22:58:29,2075.0,SamhainNight,1.0,0.0,0.0,1.0,0.0,0.0,macro,0,StopTheBan,SamhainNight,6.0,18.0,11.0,0,35.0,"Artist/writer. Creator of the webcomic Samhain Night -a dark Celtic faerie tale, down for repairs at the moment. Portfolio at https://t.co/YIOkJoeVvhShe/Her"
